Departamento,Provincia,Distrito,Latitud,Longitud
CAJAMARCA,CONTUMAZA,GUZMANGO,-7.364304083,-78.9176893
CAJAMARCA,SAN PABLO,SAN LUIS,-7.15904793,-78.87308521
LAMBAYEQUE,CHICLAYO,LAGUNAS,-7.014424663,-79.67130096
LAMBAYEQUE,CHICLAYO,MONSEFU,-6.865730357,-79.85748457
LAMBAYEQUE,CHICLAYO,CAYALTI,-6.88870094,-79.5066821
LIMA,BARRANCA,BARRANCA,-10.714926,-77.68269231
LIMA,HUAURA,HUAURA,-11.00359043,-77.4452241
LIMA,OYON,COCHAMARCA,-10.88355617,-77.12792023
ANCASH,ANTONIO RAYMONDI,LLAMELLIN,-9.081830566,-77.00734458
ANCASH,HUAYLAS,PAMPAROMAS,-9.143241853,-77.95702706
ANCASH,BOLOGNESI,CAJACAY,-10.19044603,-77.34248183
ANCASH,BOLOGNESI,CANIS,-10.33445516,-77.19097938
ANCASH,BOLOGNESI,TICLLOS,-10.23247689,-77.20803417
ANCASH,SANTA,NUEVO CHIMBOTE,-9.100105628,-78.43615622
AREQUIPA,CONDESUYOS,YANAQUIHUA,-15.7019629,-73.02910968
AREQUIPA,CASTILLA,MACHAGUAY,-15.60113066,-72.47175924
AREQUIPA,CASTILLA,ORCOPAMPA,-15.11609846,-72.24849582
AREQUIPA,CASTILLA,PAMPACOLCA,-15.67077551,-72.61905898
AREQUIPA,CASTILLA,URACA,-16.26159127,-72.52557265
AREQUIPA,CAYLLOMA,LLUTA,-15.96762286,-72.01844538
AREQUIPA,CAYLLOMA,MACA,-15.73131121,-71.79727447
AREQUIPA,CAYLLOMA,MADRIGAL,-15.54134002,-71.85744275
AREQUIPA,ISLAY,PUNTA DE BOMBON,-17.16003666,-71.55072322
AREQUIPA,LA UNION,QUECHUALLA,-15.28980977,-73.07042656
AREQUIPA,LA UNION,TORO,-15.40476234,-73.01612325
AREQUIPA,AREQUIPA,VITOR,-16.48931212,-71.98780112
AREQUIPA,CAMANA,CAMANA,-16.63091405,-72.71287959
AREQUIPA,CAMANA,NICOLAS DE PIEROLA,-16.47940054,-72.63409381
AREQUIPA,AREQUIPA,CAYMA,-16.25268216,-71.45694765
AREQUIPA,AREQUIPA,POCSI,-16.49888709,-71.33217586
AREQUIPA,CARAVELI,BELLA UNION,-15.37541936,-74.76157588
AREQUIPA,AREQUIPA,AREQUIPA,-16.4066583,-71.53845996
AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,-16.43149162,-71.52347287
AREQUIPA,AREQUIPA,MIRAFLORES,-16.35646826,-71.47127855
AREQUIPA,AREQUIPA,SACHACA,-16.42116882,-71.57624543
AREQUIPA,AREQUIPA,MARIANO MELGAR,-16.37538466,-71.46287758
AYACUCHO,LA MAR,ANCHIHUAY,-12.95649431,-73.71272418
AYACUCHO,HUANTA,PUCACOLPA,-12.33947622,-74.38305296
HUANCAVELICA,TAYACAJA,ANDAYMARCA,-12.29854211,-74.6327374
APURIMAC,ABANCAY,CURAHUASI,-13.63885311,-72.6181195
APURIMAC,CHINCHEROS,OCOBAMBA,-13.50611704,-73.51960203
APURIMAC,ANDAHUAYLAS,PACOBAMBA,-13.53604092,-73.12969548
PIURA,MORROPON,CHALACO,-5.066345998,-79.79280968
PIURA,PAITA,COLAN,-4.930631872,-81.07094816
PIURA,PAITA,TAMARINDO,-4.837484702,-80.96262691
PIURA,AYABACA,PAIMAS,-4.636962476,-80.00532251
PIURA,AYABACA,MONTERO,-4.638348922,-79.84666986
PIURA,TALARA,LA BREA,-4.703851835,-81.10818419
PIURA,SULLANA,LANCONES,-4.419973009,-80.50274203
PIURA,TALARA,LOS ORGANOS,-4.194724994,-81.06424584
PIURA,SULLANA,BELLAVISTA,-4.889719076,-80.67427785
TACNA,TACNA,LA YARADA LOS PALOS,-18.20002202,-70.43907086
APURIMAC,CHINCHEROS,EL PORVENIR,-13.39770551,-73.55504313
APURIMAC,CHINCHEROS,ROCCHACC,-13.45558188,-73.61735308
HUANUCO,HUANUCO,SAN PABLO DE PILLAO,-9.707735827,-75.93845031
HUANUCO,MARAÑON,SANTA ROSA DE ALTO YANAJANCA,-8.789676761,-76.5085787
CAJAMARCA,CUTERVO,LA RAMADA,-6.230898653,-78.56970054
MADRE DE DIOS,TAHUAMANU,IÑAPARI,-10.96519855,-70.64991337
APURIMAC,CHINCHEROS,LOS CHANKAS,-13.39015321,-73.79139384
PUNO,SAN ROMAN,SAN MIGUEL,-15.40622872,-70.12641874
AREQUIPA,ISLAY,MOLLENDO,-16.85746963,-71.87890157
AREQUIPA,ISLAY,COCACHACRA,-16.92884428,-71.59943815
AREQUIPA,AREQUIPA,CHARACATO,-16.45774176,-71.38285968
PUNO,EL COLLAO,SANTA ROSA,-16.83579208,-69.85519746
PUNO,CHUCUITO,HUACULLANI,-16.60415099,-69.39887582
PUNO,EL COLLAO,CONDURIRI,-16.55265397,-69.63347099
PUNO,CHUCUITO,ZEPITA,-16.49459845,-69.17794689
PUNO,PUNO,CHUCUITO,-15.89092462,-69.87858151
PUNO,LAMPA,CALAPUJA,-15.31105833,-70.2364696
PUNO,AZANGARO,ACHAYA,-15.24069722,-70.17770005
PUNO,AZANGARO,CAMINACA,-15.30282511,-70.09432792
PUNO,MELGAR,SANTA ROSA,-14.57433969,-70.81201906
PUNO,PUNO,MAÑAZO,-15.88079487,-70.40861703
PUNO,LAMPA,SANTA LUCIA,-15.60145928,-70.78455367
PUNO,PUNO,HUATA,-15.62161829,-69.99779894
PUNO,LAMPA,PARATIA,-15.46754705,-70.70475578
PUNO,HUANCANE,PUSI,-15.44091938,-69.98966611
PUNO,HUANCANE,VILQUE CHICO,-15.13800593,-69.60950268
PUNO,AZANGARO,CHUPA,-15.10627759,-69.95196754
PUNO,AZANGARO,SANTIAGO DE PUPUJA,-15.0834053,-70.25035201
PUNO,LAMPA,PUCARA,-15.07946833,-70.45052782
PUNO,AZANGARO,SAN JUAN DE SALINAS,-15.000797,-70.12618909
PUNO,MELGAR,UMACHIRI,-14.87857701,-70.74898534
PUNO,MELGAR,CUPI,-14.89009646,-70.89425926
PUNO,AZANGARO,POTONI,-14.41643633,-70.09218905
PUNO,MELGAR,ANTAUTA,-14.35464635,-70.38414063
PUNO,CARABAYA,CRUCERO,-14.33638332,-69.92891435
PUNO,CARABAYA,USICAYOS,-14.14077546,-69.93830786
AREQUIPA,CAYLLOMA,TAPAY,-15.42682914,-71.93601226
ANCASH,PALLASCA,PALLASCA,-8.263448542,-78.004851
ANCASH,PALLASCA,TAUCA,-8.446069216,-78.05556827
ANCASH,POMABAMBA,POMABAMBA,-8.790369384,-77.50652627
HUANUCO,HUAMALIES,JIRCAN,-9.216587837,-76.64438639
HUANUCO,MARAÑON,HUACRACHUCO,-8.604817728,-77.17305637
HUANUCO,MARAÑON,SAN BUENAVENTURA,-8.768786382,-77.14803333
JUNIN,TARMA,HUASAHUASI,-11.12762349,-75.62573068
