Departamento;Provincia;Distrito;Latitud;Longitud
CAJAMARCA;CONTUMAZA;GUZMANGO;-7.36430408343;-78.9176893007
CAJAMARCA;SAN PABLO;SAN LUIS;-7.15904792997;-78.873085214
LAMBAYEQUE;CHICLAYO;LAGUNAS;-7.01442466301;-79.6713009573
LAMBAYEQUE;CHICLAYO;MONSEFU;-6.86573035676;-79.8574845687
LAMBAYEQUE;CHICLAYO;CAYALTI;-6.8887009402;-79.5066821013
LIMA;BARRANCA;BARRANCA;-10.714926002;-77.6826923059
LIMA;HUAURA;HUAURA;-11.0035904276;-77.4452240991
LIMA;OYON;COCHAMARCA;-10.8835561728;-77.1279202264
ANCASH;ANTONIO RAYMONDI;LLAMELLIN;-9.0818305656;-77.0073445799
ANCASH;HUAYLAS;PAMPAROMAS;-9.14324185258;-77.9570270578
ANCASH;BOLOGNESI;CAJACAY;-10.1904460315;-77.3424818316
ANCASH;BOLOGNESI;CANIS;-10.3344551606;-77.1909793789
ANCASH;BOLOGNESI;TICLLOS;-10.2324768894;-77.2080341693
ANCASH;SANTA;NUEVO CHIMBOTE;-9.10010562776;-78.43615622
AREQUIPA;CONDESUYOS;YANAQUIHUA;-15.701962903;-73.0291096848
AREQUIPA;CASTILLA;MACHAGUAY;-15.6011306598;-72.4717592378
AREQUIPA;CASTILLA;ORCOPAMPA;-15.1160984551;-72.248495822
AREQUIPA;CASTILLA;PAMPACOLCA;-15.6707755111;-72.6190589785
AREQUIPA;CASTILLA;URACA;-16.261591273;-72.5255726457
AREQUIPA;CAYLLOMA;LLUTA;-15.9676228603;-72.0184453813
AREQUIPA;CAYLLOMA;MACA;-15.7313112059;-71.7972744667
AREQUIPA;CAYLLOMA;MADRIGAL;-15.5413400202;-71.8574427537
AREQUIPA;ISLAY;PUNTA DE BOMBON;-17.1600366598;-71.5507232188
AREQUIPA;LA UNION;QUECHUALLA;-15.2898097695;-73.0704265629
AREQUIPA;LA UNION;TORO;-15.4047623396;-73.0161232476
AREQUIPA;AREQUIPA;VITOR;-16.489312119;-71.9878011172
AREQUIPA;CAMANA;CAMANA;-16.6309140479;-72.712879592
AREQUIPA;CAMANA;NICOLAS DE PIEROLA;-16.4794005426;-72.6340938124
AREQUIPA;AREQUIPA;CAYMA;-16.2526821559;-71.4569476457
AREQUIPA;AREQUIPA;POCSI;-16.4988870871;-71.3321758579
AREQUIPA;CARAVELI;BELLA UNION;-15.3754193589;-74.761575882
AREQUIPA;AREQUIPA;AREQUIPA;-16.4066583008;-71.5384599628
AREQUIPA;AREQUIPA;JOSE LUIS BUSTAMANTE Y RIVERO;-16.4314916205;-71.5234728719
AREQUIPA;AREQUIPA;MIRAFLORES;-16.3564682595;-71.4712785484
AREQUIPA;AREQUIPA;SACHACA;-16.4211688162;-71.5762454264
AREQUIPA;AREQUIPA;MARIANO MELGAR;-16.3753846595;-71.4628775811
AYACUCHO;LA MAR;ANCHIHUAY;-12.9564943085;-73.7127241806
AYACUCHO;HUANTA;PUCACOLPA;-12.3394762243;-74.3830529603
HUANCAVELICA;TAYACAJA;ANDAYMARCA;-12.2985421141;-74.632737396
APURIMAC;ABANCAY;CURAHUASI;-13.6388531112;-72.618119497
APURIMAC;CHINCHEROS;OCOBAMBA;-13.5061170441;-73.519602034
APURIMAC;ANDAHUAYLAS;PACOBAMBA;-13.5360409241;-73.1296954785
PIURA;MORROPON;CHALACO;-5.06634599831;-79.7928096834
PIURA;PAITA;COLAN;-4.93063187194;-81.070948164
PIURA;PAITA;TAMARINDO;-4.83748470194;-80.9626269064
PIURA;AYABACA;PAIMAS;-4.63696247634;-80.0053225078
PIURA;AYABACA;MONTERO;-4.63834892157;-79.8466698559
PIURA;TALARA;LA BREA;-4.70385183458;-81.1081841876
PIURA;SULLANA;LANCONES;-4.41997300876;-80.5027420299
PIURA;TALARA;LOS ORGANOS;-4.19472499401;-81.0642458366
PIURA;SULLANA;BELLAVISTA;-4.88971907622;-80.6742778523
TACNA;TACNA;LA YARADA LOS PALOS;-18.200022024;-70.439070857
APURIMAC;CHINCHEROS;EL PORVENIR;-13.3977055072;-73.5550431331
APURIMAC;CHINCHEROS;ROCCHACC;-13.4555818751;-73.6173530838
HUANUCO;HUANUCO;SAN PABLO DE PILLAO;-9.70773582739;-75.9384503146
HUANUCO;MARAÑON;SANTA ROSA DE ALTO YANAJANCA;-8.78967676119;-76.5085787007
CAJAMARCA;CUTERVO;LA RAMADA;-6.23089865274;-78.5697005396
MADRE DE DIOS;TAHUAMANU;IÑ‘APARI;-10.9651985476;-70.6499133676
APURIMAC;CHINCHEROS;LOS CHANKAS;-13.390153205;-73.7913938414
PUNO;SAN ROMAN;SAN MIGUEL;-15.4062287245;-70.126418743
AREQUIPA;ISLAY;MOLLENDO;-16.8574696329;-71.8789015674
AREQUIPA;ISLAY;COCACHACRA;-16.9288442787;-71.5994381456
AREQUIPA;AREQUIPA;CHARACATO;-16.4577417634;-71.3828596752
PUNO;EL COLLAO;SANTA ROSA;-16.8357920768;-69.8551974581
PUNO;CHUCUITO;HUACULLANI;-16.6041509892;-69.3988758198
PUNO;EL COLLAO;CONDURIRI;-16.5526539674;-69.6334709914
PUNO;CHUCUITO;ZEPITA;-16.4945984479;-69.1779468898
PUNO;PUNO;CHUCUITO;-15.8909246186;-69.8785815126
PUNO;LAMPA;CALAPUJA;-15.3110583268;-70.2364695987
PUNO;AZANGARO;ACHAYA;-15.2406972187;-70.177700049
PUNO;AZANGARO;CAMINACA;-15.3028251054;-70.0943279157
PUNO;MELGAR;SANTA ROSA;-14.5743396861;-70.812019055
PUNO;PUNO;MAÑAZO;-15.8807948715;-70.4086170309
PUNO;LAMPA;SANTA LUCIA;-15.6014592828;-70.7845536722
PUNO;PUNO;HUATA;-15.6216182916;-69.9977989401
PUNO;LAMPA;PARATIA;-15.4675470466;-70.704755779
PUNO;HUANCANE;PUSI;-15.4409193841;-69.9896661145
PUNO;HUANCANE;VILQUE CHICO;-15.1380059271;-69.6095026766
PUNO;AZANGARO;CHUPA;-15.1062775949;-69.9519675384
PUNO;AZANGARO;SANTIAGO DE PUPUJA;-15.0834053039;-70.2503520108
PUNO;LAMPA;PUCARA;-15.0794683273;-70.4505278241
PUNO;AZANGARO;SAN JUAN DE SALINAS;-15.0007969979;-70.1261890851
PUNO;MELGAR;UMACHIRI;-14.8785770145;-70.7489853412
